"gender","res","dep"
"Male","Rejected",6
"Male","Rejected",6
"Male","Admitted",2
"Male","Rejected",3
"Male","Rejected",6
"Male","Admitted",1
"Female","Rejected",6
"Female","Rejected",6
"Male","Rejected",4
"Male","Admitted",1
"Male","Rejected",6
"Male","Rejected",1
"Female","Admitted",5
"Male","Admitted",1
"Male","Rejected",6
"Female","Rejected",6
"Female","Admitted",1
"Male","Admitted",4
"Male","Rejected",6
"Male","Admitted",1
"Male","Rejected",3
"Male","Admitted",1
"Female","Rejected",3
"Male","Admitted",1
"Male","Rejected",5
"Male","Rejected",6
"Female","Rejected",3
"Male","Admitted",1
"Female","Rejected",6
"Female","Admitted",3
"Male","Admitted",1
"Male","Admitted",1
"Male","Rejected",2
"Male","Rejected",4
"Female","Rejected",1
"Female","Rejected",5
"Female","Rejected",3
"Male","Admitted",2
"Female","Admitted",4
"Male","Rejected",1
"Female","Rejected",4
"Female","Rejected",3
"Female","Admitted",4
"Male","Rejected",1
"Male","Rejected",4
"Female","Rejected",3
"Female","Rejected",6
"Male","Rejected",3
"Female","Rejected",6
"Female","Rejected",3
"Male","Rejected",3
"Male","Admitted",1
"Female","Admitted",6
"Female","Admitted",4
"Female","Rejected",4
"Female","Rejected",3
"Male","Rejected",3
"Female","Rejected",5
"Female","Rejected",3
"Male","Admitted",2
"Male","Rejected",2
"Male","Admitted",1
"Female","Rejected",6
"Male","Admitted",6
"Male","Admitted",1
"Male","Rejected",3
"Male","Admitted",4
"Male","Admitted",2
"Female","Rejected",3
"Female","Admitted",6
"Female","Rejected",6
"Female","Admitted",1
"Female","Rejected",5
"Male","Admitted",2
"Female","Rejected",6
"Female","Rejected",4
"Male","Rejected",6
"Female","Rejected",3
"Male","Rejected",6
"Male","Rejected",3
"Male","Admitted",1
"Male","Admitted",1
"Male","Rejected",1
"Male","Rejected",2
"Male","Rejected",5
"Male","Admitted",1
"Male","Admitted",4
"Female","Admitted",3
"Male","Rejected",3
"Male","Rejected",3
"Male","Admitted",1
"Female","Rejected",5
"Male","Admitted",1
"Male","Rejected",6
"Male","Admitted",1
"Female","Admitted",6
"Female","Admitted",5
"Male","Rejected",4
"Male","Admitted",1
"Male","Rejected",2
"Male","Rejected",4
"Female","Admitted",3
"Male","Rejected",6
"Female","Rejected",4
"Female","Rejected",5
"Male","Rejected",4
"Male","Admitted",3
"Male","Admitted",4
"Female","Rejected",5
"Female","Rejected",3
"Male","Rejected",6
"Female","Admitted",3
"Male","Rejected",2
"Male","Admitted",1
"Male","Admitted",1
"Female","Rejected",5
"Male","Admitted",1
